year,price,mileage,location
2013,18500,32601,T.C
2012,17000,32001,T.C
2014,21988,1130,T.C
2014,21988,24,T.C
2012,17980,23063,T.C
2006,8500,84100,T.C
2012,18477,19312,T.C
2009,14977,41110,T.C
2014,20991,1878,T.C
2011,14991,33560,T.C
2002,4490,137658,T.C
2013,18998,15512,T.C
2009,17400,37700,T.C
2005,7850,144409,T.C
2010,15488,32543,T.C
2007,8999,88582,T.C
2012,17888,36962,T.C
2003,7086,77977,T.C
2005,8950,67400,T.C
2010,13995,59431,T.C
2009,11998,63970,T.C
2003,5990,85010,T.C
2003,4998,114092,T.C
2014,21988,50,T.C
2006,11887,24027,T.C
2010,15000,54000,T.C
2005,9988,63234,T.C
2008,9499,75068,T.C
2007,10999,86915,T.C
2010,15489,29060,T.C
2007,11988,48054,T.C
2011,14998,35350,T.C
2005,10900,63197,T.C
1999,5995,139000,T.C
2013,18333,16426,T.C
2005,8999,79728,T.C
2010,13500,47475,T.C
2008,12495,36630,T.C
2011,13950,28645,T.C
2001,9977,52997,T.C
2010,14999,62125,T.C
2001,4500,95011,T.C
2004,4995,137145,T.C
2005,7298,104509,T.C
2004,3999,167563,T.C
2010,17979,10807,T.C
2007,9979,93956,T.C
2006,8800,119464,T.C
2007,10995,56873,T.C
2002,5495,121678,T.C
2007,10995,79599,L.A
2004,3700,131520,L.A
2006,10979,70395,L.A
2012,17479,22056,L.A
2005,7998,109100,L.A
2014,18984,22911,L.A
2008,11450,79764,L.A
2013,18988,32384,L.A
2012,18988,28283,L.A
2012,18788,33643,L.A
2007,9525,147246,L.A
2005,8925,121369,L.A
2014,19995,4574,L.A
2014,16995,41964,L.A
2005,12995,65579,L.A
2007,9995,95410,L.A
2012,17991,39416,L.A
2013,18991,40602,L.A
2010,14988,42488,L.A
2006,12500,40000,L.A
2013,21352,16217,L.A
2011,16987,54859,L.A
2009,15999,41758,L.A
2012,21000,16210,L.A
2012,18500,44941,L.A
2005,9999,73630,L.A
2010,18937,49128,L.A
2004,6995,87533,L.A
2006,11950,74374,L.A
2005,8999,115000,L.A
2005,10000,79247,L.A
2006,9500,93939,L.A
2004,4099,66274,L.A
2006,9000,80000,L.A
2005,10943,76311,L.A
2002,7488,110141,L.A
2006,9450,88488,L.A
2006,9995,92435,L.A
2005,7199,125000,L.A
2006,9980,97118,L.A
2006,9800,109308,L.A
2005,8294,144973,L.A
2007,5500,150000,L.A
2011,16659,51560,L.A
2010,13895,93899,L.A
2009,11900,71431,L.A
2006,10995,109377,L.A
2007,12750,85070,L.A
2012,17999,26087,L.A
2002,5721,62399,L.A
2010,9945,95300,NYC
2006,9900,77908,NYC
2011,14900,56674,NYC
2012,16995,56000,NYC
2003,2600,160000,NYC
2008,9930,103917,NYC
2005,8999,76000,NYC
2014,17999,3394,NYC
2007,6995,132084,NYC
2007,6999,90850,NYC
2007,8495,78315,NYC
2004,4995,93428,NYC
2006,6980,71992,NYC
2014,14900,24218,NYC
2011,15800,41000,NYC
2006,8900,75224,NYC
2005,7998,97903,NYC
2005,5250,182000,NYC
2014,20208,31387,NYC
2013,19899,41206,NYC
2007,10995,57818,NYC
2006,8299,85000,NYC
2008,10995,56016,NYC
2002,5495,72323,NYC
2005,9795,56000,NYC
2012,15000,26854,NYC
2006,10990,15348,NYC
2012,21930,32487,NYC
2013,17111,16649,NYC
2006,7995,114495,NYC
2012,18995,14901,NYC
2012,17995,22927,NYC
2009,12900,58888,NYC
2008,12538,55462,NYC
2009,11900,67200,NYC
2013,16900,21932,NYC
2012,19995,16549,NYC
2014,18475,20250,NYC
2007,10250,67000,NYC
2008,13995,65659,NYC
2002,4995,91000,NYC
2013,22995,7531,NYC
2014,20995,13836,NYC
2011,16995,23142,NYC
2007,16588,36516,NYC
2014,19054,3604,NYC
2008,10500,60472,NYC
2011,16995,6660,NYC
2011,17850,38551,NYC
2008,13900,44660,NYC
2012,16997,24525,Chicago
2012,17989,11962,Chicago
2006,9995,89647,Chicago
2007,13988,36619,Chicago
2007,10800,44000,Chicago
2002,5500,59680,Chicago
2007,8999,117225,Chicago
2008,11750,96939,Chicago
2007,11750,95415,Chicago
2008,13500,62697,Chicago
2013,17900,44622,Chicago
2009,10900,64922,Chicago
1998,6991,102417,Chicago
2003,3912,119685,Chicago
2010,14921,33737,Chicago
2005,12495,62801,Chicago
2000,3895,166718,Chicago
2011,12995,99818,Chicago
2005,5999,122000,Chicago
2010,17395,3882,Chicago
2012,20995,16713,Chicago
2013,19995,8657,Chicago
2010,14919,54300,Chicago
2002,4500,104061,Chicago
2012,14999,56734,Chicago
2013,17888,13270,Chicago
2010,16888,46793,Chicago
2006,10499,46519,Chicago
2012,15995,72173,Chicago
2007,6777,186914,Chicago
2005,5999,135100,Chicago
2004,2495,125168,Chicago
2013,21788,24564,Chicago
2011,14877,49412,Chicago
2010,15788,35514,Chicago
2012,17990,13884,Chicago
2012,19222,7004,Chicago
2011,18809,28576,Chicago
2010,14899,26661,Chicago
2008,10991,70661,Chicago
2012,20995,27615,Chicago
2010,14950,54086,Chicago
2008,10950,93841,Chicago
2012,16490,37890,Chicago
2011,16889,47006,Chicago
2012,19995,18866,Chicago
2014,20995,1130,Chicago
2006,8995,111130,Chicago
2006,9495,42519,Chicago
2007,9500,108000,Chicago
